# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_5> 
0.805 0.0596435 
0.80625 0.0231193 
0.8075 -0.0134462 
0.80875 -0.0500301 
0.81 -0.0866091 
0.81125 -0.12316 
0.8125 -0.15966 
0.81375 -0.196086 
0.815 -0.232415 
0.81625 -0.268624 
0.8175 -0.304691 
0.81875 -0.340591 
0.82 -0.376304 
0.82125 -0.411807 
0.8225 -0.447076 
0.82375 -0.482091 
0.825 -0.516829 
0.82625 -0.551269 
0.8275 -0.585388 
0.82875 -0.619166 
0.83 -0.652582 
0.83125 -0.685615 
0.8325 -0.718243 
0.83375 -0.750448 
0.835 -0.782209 
0.83625 -0.813507 
0.8375 -0.844322 
0.83875 -0.874635 
0.84 -0.904427 
0.84125 -0.933681 
0.8425 -0.962379 
0.84375 -0.990503 
0.845 -1.01804 
0.84625 -1.04496 
0.8475 -1.07126 
0.84875 -1.09692 
0.85 -1.12193 
0.85125 -1.14627 
0.8525 -1.16992 
0.85375 -1.19287 
0.855 -1.21512 
0.85625 -1.23664 
0.8575 -1.25742 
0.85875 -1.27745 
0.86 -1.29673 
0.86125 -1.31523 
0.8625 -1.33295 
0.86375 -1.34988 
0.865 -1.36601 
0.86625 -1.38134 
0.8675 -1.39585 
0.86875 -1.40953 
0.87 -1.42238 
0.87125 -1.4344 
0.8725 -1.44558 
0.87375 -1.45591 
0.875 -1.46538 
0.87625 -1.47401 
0.8775 -1.48177 
0.87875 -1.48868 
0.88 -1.49472 
0.88125 -1.4999 
0.8825 -1.50421 
0.88375 -1.50767 
0.885 -1.51026 
0.88625 -1.51199 
0.8875 -1.51285 
0.88875 -1.51287 
0.89 -1.51203 
0.89125 -1.51034 
0.8925 -1.5078 
0.89375 -1.50443 
0.895 -1.50023 
0.89625 -1.49519 
0.8975 -1.48934 
0.89875 -1.48268 
0.9 -1.47522 
0.90125 -1.46696 
0.9025 -1.45792 
0.90375 -1.4481 
0.905 -1.43752 
0.90625 -1.4262 
0.9075 -1.41413 
0.90875 -1.40134 
0.91 -1.38784 
0.91125 -1.37364 
0.9125 -1.35876 
0.91375 -1.34321 
0.915 -1.32701 
0.91625 -1.31018 
0.9175 -1.29272 
0.91875 -1.27467 
0.92 -1.25604 
0.92125 -1.23684 
0.9225 -1.21709 
0.92375 -1.19683 
0.925 -1.17606 
0.92625 -1.1548 
0.9275 -1.13309 
0.92875 -1.11093 
0.93 -1.08835 
0.93125 -1.06538 
0.9325 -1.04204 
0.93375 -1.01835 
0.935 -0.994334 
0.93625 -0.970018 
0.9375 -0.945426 
0.93875 -0.920583 
0.94 -0.895517 
