# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_19> 
0.73875 0.0374826 
0.74 0.042096 
0.74125 0.0466044 
0.7425 0.0509924 
0.74375 0.0552451 
0.745 0.0593478 
0.74625 0.0632863 
0.7475 0.0670467 
0.74875 0.0706155 
0.75 0.0739799 
0.75125 0.0771276 
0.7525 0.0800468 
0.75375 0.0827263 
0.755 0.0851557 
0.75625 0.0873252 
0.7575 0.0892258 
0.75875 0.0908492 
0.76 0.0921879 
0.76125 0.0932354 
0.7625 0.0939858 
0.76375 0.0944342 
0.765 0.0945765 
0.76625 0.0944099 
0.7675 0.0939319 
0.76875 0.0931415 
0.77 0.0920385 
0.77125 0.0906234 
0.7725 0.0888982 
0.77375 0.0868655 
0.775 0.0845289 
0.77625 0.0818933 
0.7775 0.0789642 
0.77875 0.0757483 
0.78 0.0722533 
0.78125 0.0684877 
0.7825 0.0644611 
0.78375 0.060184 
0.785 0.0556677 
0.78625 0.0509245 
0.7875 0.0459674 
0.78875 0.0408106 
0.79 0.0354686 
0.79125 0.0299571 
0.7925 0.0242922 
0.79375 0.0184909 
0.795 0.0125709 
0.79625 0.00655023 
0.7975 0.000447702 
0.79875 -0.00571742 
0.8 -0.0119254 
0.80125 -0.0181562 
0.8025 -0.0243892 
0.80375 -0.0306038 
0.805 -0.0367789 
0.80625 -0.0428933 
0.8075 -0.0489259 
0.80875 -0.0548551 
0.81 -0.0606599 
0.81125 -0.0663188 
0.8125 -0.071811 
0.81375 -0.0771154 
0.815 -0.0822116 
0.81625 -0.0870794 
0.8175 -0.0916991 
0.81875 -0.0960513 
0.82 -0.100117 
0.82125 -0.103879 
0.8225 -0.10732 
0.82375 -0.110422 
0.825 -0.113171 
0.82625 -0.115551 
0.8275 -0.117549 
0.82875 -0.119152 
0.83 -0.120348 
0.83125 -0.121127 
0.8325 -0.121479 
0.83375 -0.121397 
0.835 -0.120874 
0.83625 -0.119905 
0.8375 -0.118486 
0.83875 -0.116615 
0.84 -0.11429 
0.84125 -0.111514 
0.8425 -0.108288 
0.84375 -0.104616 
0.845 -0.100505 
0.84625 -0.0959609 
0.8475 -0.0909937 
0.84875 -0.0856141 
0.85 -0.0798346 
0.85125 -0.0736696 
0.8525 -0.0671352 
0.85375 -0.060249 
0.855 -0.0530306 
0.85625 -0.0455011 
0.8575 -0.0376833 
0.85875 -0.0296016 
0.86 -0.021282 
0.86125 -0.0127521 
0.8625 -0.00404086 
0.86375 0.00482122 
0.865 0.0138023 
0.86625 0.0228694 
0.8675 0.0319881 
0.86875 0.0411231 
0.87 0.0502379 
0.87125 0.0592951 
0.8725 0.0682565 
0.87375 0.0770834 
0.875 0.0857363 
0.87625 0.0941752 
0.8775 0.10236 
0.87875 0.110251 
0.88 0.117806 
0.88125 0.124987 
0.8825 0.131753 
0.88375 0.138064 
0.885 0.143883 
0.88625 0.14917 
0.8875 0.153889 
0.88875 0.158005 
0.89 0.161483 
0.89125 0.16429 
0.8925 0.166396 
0.89375 0.167771 
0.895 0.168389 
0.89625 0.168225 
0.8975 0.167258 
0.89875 0.16547 
0.9 0.162844 
0.90125 0.159367 
0.9025 0.155032 
0.90375 0.149832 
0.905 0.143765 
0.90625 0.136836 
0.9075 0.12905 
0.90875 0.120419 
0.91 0.110958 
0.91125 0.100689 
0.9125 0.0896361 
0.91375 0.0778313 
0.915 0.0653099 
0.91625 0.0521132 
0.9175 0.0382879 
0.91875 0.0238861 
0.92 0.00896537 
0.92125 -0.00641085 
0.9225 -0.0221737 
0.92375 -0.0382488 
0.925 -0.0545559 
0.92625 -0.0710097 
0.9275 -0.087519 
0.92875 -0.103988 
0.93 -0.120315 
0.93125 -0.136394 
0.9325 -0.152115 
0.93375 -0.167361 
0.935 -0.182015 
0.93625 -0.195954 
0.9375 -0.209052 
0.93875 -0.221181 
0.94 -0.232209 
0.94125 -0.242007 
0.9425 -0.25044 
0.94375 -0.257377 
0.945 -0.262687 
0.94625 -0.266238 
0.9475 -0.267906 
0.94875 -0.267566 
0.95 -0.2651 
0.95125 -0.260398 
0.9525 -0.253356 
0.95375 -0.243878 
0.955 -0.231882 
0.95625 -0.217296 
0.9575 -0.200063 
0.95875 -0.180143 
0.96 -0.157513 
0.96125 -0.132173 
0.9625 -0.104143 
0.96375 -0.0734707 
0.965 -0.0402305 
0.96625 -0.0045285 
0.9675 0.0334955 
0.96875 0.0736646 
0.97 0.115761 
0.97125 0.159525 
0.9725 0.204645 
0.97375 0.250763 
0.975 0.297461 
0.97625 0.344264 
0.9775 0.390629 
0.97875 0.435948 
0.98 0.479533 
0.98125 0.520621 
0.9825 0.558361 
0.98375 0.591811 
0.985 0.619932 
0.98625 0.641582 
0.9875 0.655506 
0.98875 0.660333 
0.99 0.654569 
0.99125 0.636583 
0.9925 0.604608 
0.99375 0.556724 
0.995 0.490857 
0.99625 0.404764 
0.9975 0.296026 
0.99875 0.162039 
1 0 


